ID do Cliente,Nome,Sexo,Idade,Faixa Etária,Renda Mensal,Cidade,Estado,Região,Nível de Escolaridade
1,Cliente 1,Feminino,32,26-35,4184,Fortaleza,CE,Nordeste,Pós-graduação
2,Cliente 2,Feminino,51,46-55,4374,Rio Branco,AC,Norte,Fundamental
3,Cliente 3,Feminino,52,46-55,4153,Manaus,AM,Norte,Pós-graduação
4,Cliente 4,Feminino,52,46-55,6848,Curitiba,PR,Sul,Fundamental
5,Cliente 5,Masculino,19,18-25,9031,Porto Alegre,RS,Sul,Superior
6,Cliente 6,Masculino,49,46-55,9019,Goiânia,GO,Centro-Oeste,Fundamental
7,Cliente 7,Feminino,65,56+,5907,São Paulo,SP,Sudeste,Fundamental
8,Cliente 8,Feminino,55,46-55,8817,Porto Alegre,RS,Sul,Pós-graduação
9,Cliente 9,Feminino,47,46-55,3628,São Luís,MA,Nordeste,Médio
10,Cliente 10,Feminino,36,36-45,4984,São Paulo,SP,Sudeste,Superior
11,Cliente 11,Masculino,50,46-55,4578,Salvador,BA,Nordeste,Fundamental
12,Cliente 12,Feminino,28,26-35,6308,Salvador,BA,Nordeste,Superior
13,Cliente 13,Feminino,57,56+,9759,Salvador,BA,Nordeste,Médio
14,Cliente 14,Feminino,43,36-45,4611,Belém,PA,Norte,Médio
15,Cliente 15,Masculino,37,36-45,7251,Belo Horizonte,MG,Sudeste,Fundamental
16,Cliente 16,Masculino,62,56+,5905,Salvador,BA,Nordeste,Fundamental
17,Cliente 17,Feminino,33,26-35,9204,Brasília,DF,Centro-Oeste,Pós-graduação
18,Cliente 18,Masculino,26,26-35,4896,Manaus,AM,Norte,Fundamental
19,Cliente 19,Masculino,50,46-55,7633,Belo Horizonte,MG,Sudeste,Fundamental
20,Cliente 20,Feminino,35,26-35,2540,São Luís,MA,Nordeste,Superior
21,Cliente 21,Feminino,27,26-35,4094,Belo Horizonte,MG,Sudeste,Fundamental
22,Cliente 22,Masculino,30,26-35,6022,Fortaleza,CE,Nordeste,Médio
23,Cliente 23,Feminino,42,36-45,2436,Rio Branco,AC,Norte,Médio
24,Cliente 24,Feminino,57,56+,8678,Florianópolis,SC,Sul,Médio
25,Cliente 25,Feminino,24,18-25,7053,Porto Alegre,RS,Sul,Médio
26,Cliente 26,Masculino,35,26-35,6295,Salvador,BA,Nordeste,Médio
27,Cliente 27,Feminino,55,46-55,5105,Recife,PE,Nordeste,Superior
28,Cliente 28,Masculino,34,26-35,4184,Porto Alegre,RS,Sul,Médio
29,Cliente 29,Masculino,43,36-45,8714,Brasília,DF,Centro-Oeste,Médio
30,Cliente 30,Masculino,63,56+,9942,Brasília,DF,Centro-Oeste,Médio
31,Cliente 31,Masculino,61,56+,4430,Goiânia,GO,Centro-Oeste,Fundamental
32,Cliente 32,Masculino,21,18-25,3153,São Luís,MA,Nordeste,Pós-graduação
33,Cliente 33,Masculino,41,36-45,9589,Goiânia,GO,Centro-Oeste,Médio
34,Cliente 34,Feminino,23,18-25,7360,Vitória,ES,Sudeste,Fundamental
35,Cliente 35,Feminino,27,26-35,7079,São Paulo,SP,Sudeste,Fundamental
36,Cliente 36,Feminino,25,18-25,2576,Rio de Janeiro,RJ,Sudeste,Médio
37,Cliente 37,Masculino,62,56+,3216,Brasília,DF,Centro-Oeste,Médio
38,Cliente 38,Feminino,45,36-45,4599,Florianópolis,SC,Sul,Fundamental
39,Cliente 39,Masculino,63,56+,5651,Rio Branco,AC,Norte,Superior
40,Cliente 40,Masculino,28,26-35,6635,Fortaleza,CE,Nordeste,Fundamental
41,Cliente 41,Masculino,41,36-45,6604,Campo Grande,MS,Centro-Oeste,Superior
42,Cliente 42,Masculino,64,56+,4669,Porto Alegre,RS,Sul,Fundamental
43,Cliente 43,Masculino,24,18-25,7769,Fortaleza,CE,Nordeste,Fundamental
44,Cliente 44,Feminino,44,36-45,7689,Recife,PE,Nordeste,Médio
45,Cliente 45,Masculino,35,26-35,2291,Goiânia,GO,Centro-Oeste,Pós-graduação
46,Cliente 46,Feminino,51,46-55,7894,Florianópolis,SC,Sul,Pós-graduação
47,Cliente 47,Feminino,24,18-25,3219,Goiânia,GO,Centro-Oeste,Superior
48,Cliente 48,Masculino,40,36-45,2730,Vitória,ES,Sudeste,Fundamental
49,Cliente 49,Masculino,62,56+,4266,Belo Horizonte,MG,Sudeste,Fundamental
50,Cliente 50,Feminino,56,56+,5836,Recife,PE,Nordeste,Pós-graduação
51,Cliente 51,Feminino,26,26-35,4832,Rio de Janeiro,RJ,Sudeste,Pós-graduação
52,Cliente 52,Masculino,36,36-45,6124,Brasília,DF,Centro-Oeste,Superior
53,Cliente 53,Feminino,44,36-45,5465,Curitiba,PR,Sul,Superior
54,Cliente 54,Masculino,31,26-35,9930,Curitiba,PR,Sul,Superior
55,Cliente 55,Feminino,35,26-35,7128,Florianópolis,SC,Sul,Superior
56,Cliente 56,Feminino,19,18-25,9040,Curitiba,PR,Sul,Médio
57,Cliente 57,Masculino,43,36-45,6810,Rio de Janeiro,RJ,Sudeste,Superior
58,Cliente 58,Masculino,23,18-25,6008,Rio Branco,AC,Norte,Pós-graduação
59,Cliente 59,Masculino,34,26-35,9911,Fortaleza,CE,Nordeste,Médio
60,Cliente 60,Feminino,47,46-55,4750,Recife,PE,Nordeste,Fundamental
61,Cliente 61,Masculino,36,36-45,3063,Rio Branco,AC,Norte,Pós-graduação
62,Cliente 62,Masculino,28,26-35,4789,Vitória,ES,Sudeste,Pós-graduação
63,Cliente 63,Masculino,62,56+,7982,Fortaleza,CE,Nordeste,Fundamental
64,Cliente 64,Feminino,29,26-35,9110,Brasília,DF,Centro-Oeste,Médio
65,Cliente 65,Masculino,50,46-55,9156,Salvador,BA,Nordeste,Pós-graduação
66,Cliente 66,Masculino,31,26-35,5604,Curitiba,PR,Sul,Médio
67,Cliente 67,Feminino,29,26-35,7222,Belém,PA,Norte,Médio
68,Cliente 68,Feminino,43,36-45,3523,Rio Branco,AC,Norte,Pós-graduação
69,Cliente 69,Masculino,53,46-55,2084,Florianópolis,SC,Sul,Fundamental
70,Cliente 70,Feminino,56,56+,6566,Goiânia,GO,Centro-Oeste,Médio
71,Cliente 71,Masculino,58,56+,7955,Fortaleza,CE,Nordeste,Superior
72,Cliente 72,Masculino,65,56+,5434,Rio de Janeiro,RJ,Sudeste,Fundamental
73,Cliente 73,Feminino,48,46-55,4524,São Luís,MA,Nordeste,Superior
74,Cliente 74,Masculino,34,26-35,4138,Rio Branco,AC,Norte,Fundamental
75,Cliente 75,Masculino,53,46-55,5273,São Luís,MA,Nordeste,Médio
76,Cliente 76,Masculino,46,46-55,5778,Belém,PA,Norte,Médio
