ID da Transação,ID do Cliente,Data da Transação,Valor Total,Número de Parcelas,Valor da Parcela,Taxa de Juros
1,596,2023-11-15,14272,24,594.67,4.08
2,1852,2023-08-23,7166,17,421.53,2.39
3,3131,2020-11-01,10536,10,1053.6,3.4
4,1582,2022-06-09,8315,18,461.94,1.08
5,109,2020-12-29,12443,12,1036.92,4.82
6,2520,2021-01-07,14475,17,851.47,4.76
7,1053,2022-10-06,10932,12,911.0,4.23
8,3957,2021-11-26,14837,16,927.31,3.65
9,4649,2023-07-24,5616,6,936.0,1.44
10,3799,2019-09-15,2516,10,251.6,4.66
11,750,2020-01-06,3019,8,377.38,1.43
12,124,2023-01-27,3385,20,169.25,4.98
13,3615,2023-09-10,13834,9,1537.11,4.7
14,894,2023-06-01,3115,16,194.69,3.59
15,4963,2022-01-20,14934,11,1357.64,4.78
16,833,2018-09-24,9309,16,581.81,0.99
17,2462,2023-08-11,11862,20,593.1,2.82
18,1433,2022-01-02,5298,8,662.25,4.24
19,4620,2022-11-03,13523,9,1502.56,4.59
20,4999,2018-01-07,7768,19,408.84,1.1
21,4380,2022-11-15,2771,16,173.19,1.17
22,2693,2023-09-16,13062,23,567.91,2.12
23,2134,2018-10-10,9559,16,597.44,1.43
24,367,2018-09-23,14805,9,1645.0,3.96
25,2714,2020-06-06,10063,21,479.19,3.84
26,4078,2023-07-23,8486,13,652.77,2.62
27,3329,2022-02-14,3969,6,661.5,0.21
28,4048,2019-07-30,5294,12,441.17,3.04
29,4583,2022-08-11,6163,18,342.39,0.76
30,1019,2023-10-11,14986,12,1248.83,3.08
31,4336,2021-06-23,8272,6,1378.67,2.61
32,2631,2019-01-14,1298,23,56.43,2.54
33,1916,2022-07-07,4320,17,254.12,1.02
34,776,2018-05-25,13290,6,2215.0,2.51
35,1084,2022-10-28,11551,24,481.29,2.24
36,4026,2022-12-16,14326,7,2046.57,4.87
37,2470,2018-05-13,13889,21,661.38,4.88
38,1873,2020-12-25,3480,10,348.0,4.16
39,3191,2022-10-20,11641,22,529.14,3.97
40,3574,2023-02-08,1994,8,249.25,0.24
41,3384,2023-09-07,11465,9,1273.89,4.33
42,3562,2022-06-18,5746,19,302.42,0.15
43,3761,2021-05-01,5401,8,675.12,1.71
44,1481,2022-05-04,9001,6,1500.17,1.37
45,2804,2022-12-02,6436,8,804.5,1.99
46,1424,2023-01-23,2204,7,314.86,4.8
